Date,Name,Symbol,Type,Category,Quantity,Price,TotalValue,Note
2024/5,AIT Portocol,AIT,Assets,Cryptocurrency,600.00,8,"4,864",
2024/5,Artificial Superintelligence Alliance,FET,Assets,Cryptocurrency,401.60,66,"26,346",
2024/5,RSS3,RSS3,Assets,Cryptocurrency,"2,800.00",12,"32,263",
2024/5,AIOZ Network,AIOZ,Assets,Cryptocurrency,578.12,23,"13,349",
2024/5,PAAL AI,PAAL,Assets,Cryptocurrency,0.00,17,0,
2024/5,Cosmos Hub,ATOM,Assets,Cryptocurrency,61.73,282,"17,412",
2024/5,Injective,INJ,Assets,Cryptocurrency,30.24,955,"28,881",
2024/5,Evmos,EVMOS,Assets,Cryptocurrency,241.19,1,348,
2024/5,Celestia,TIA,Assets,Cryptocurrency,93.75,355,"33,247",
2024/5,Dymension,DYM,Assets,Cryptocurrency,13.69,102,"1,402",
2024/5,Sei,SEI,Assets,Cryptocurrency,"1,196.50",18,"21,752",
2024/5,Osmosis,OSMO,Assets,Cryptocurrency,101.81,27,"2,741",
2024/5,JUNO,JUNO,Assets,Cryptocurrency,109.96,5,581,
2024/5,Scroll,SCR,Assets,Cryptocurrency,,0,0,
2024/5,ZKSync,ZK,Assets,Cryptocurrency,,0,0,
2024/5,Pepe,PEPE,Assets,Cryptocurrency,0.00,0,0,
2024/5,Slerf,SLERF,Assets,Cryptocurrency,655.00,13,"8,509",
2024/5,AssangeDAO,JUSTIC,Assets,Cryptocurrency,"500,000.00",0,"2,973",
2024/5,Parcl,PRCL,Assets,Cryptocurrency,,0,0,
2024/5,Neon,NEON,Assets,Cryptocurrency,606.84,25,"15,136",
2024/5,LayerZero,ZRO,Assets,Cryptocurrency,,0,0,
2024/5,Pendle,PENDLE,Assets,Cryptocurrency,309.49,189,"58,396",
2024/5,Neutron,NTRN,Assets,Cryptocurrency,335.26,25,"8,476",
2024/5,Aerodrome Finance,AERO,Assets,Cryptocurrency,599.58,34,"20,192",
2024/5,Realio,RIO,Assets,Cryptocurrency,655.84,63,"41,320",
2024/5,MANTRA,OM,Assets,Cryptocurrency,"1,589.37",30,"47,332",
2024/5,Ondo,ONDO,Assets,Cryptocurrency,"1,458.00",45,"66,290",
2024/5,TRESTLE,TRESTLE,Assets,Cryptocurrency,"7,614.00",0,987,
